 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | gamma_stat_Signal_bin_12 | 0.00115304 / -0.00115304 | 2.69048e-05 / -2.69048e-05 | 2.13206e-05 / -2.13206e-05 | 2.30299e-05 / -2.30299e-05 | 6.88352e-09 / -6.88352e-09 | 1.3767e-08 / -1.3767e-08 | 3.11721e-07 / -3.11721e-07 | 4.69143e-08 / -4.69143e-08 |
 | gamma_stat_Signal_bin_13 | 0.00104839 / -0.00104839 | 7.51894e-05 / -7.51894e-05 | 6.95913e-06 / -6.95913e-06 | 2.75969e-05 / -2.75969e-05 | 7.7744e-09 / -7.7744e-09 | 1.55487e-08 / -1.55487e-08 | 3.52065e-07 / -3.52065e-07 | 0.000987212 / -0.000987212 |
 | gamma_stat_Signal_bin_14 | 0.000863562 / -0.000863562 | 6.25954e-06 / -6.25954e-06 | 4.85997e-05 / -4.85997e-05 | 4.06153e-05 / -4.06153e-05 | 8.92518e-09 / -8.92518e-09 | 1.78503e-08 / -1.78503e-08 | 4.04178e-07 / -4.04178e-07 | 6.08291e-08 / -6.08291e-08 |
 | gamma_stat_Signal_bin_15 | 0.000695483 / -0.000695483 | 2.66182e-05 / -2.66182e-05 | 5.94026e-05 / -5.94026e-05 | 0.000171953 / -0.000171953 | 1.02386e-08 / -1.02386e-08 | 2.04772e-08 / -2.04772e-08 | 0.0011094 / -0.0011094 | 6.9781e-08 / -6.9781e-08 |
 | gamma_stat_Signal_bin_16 | 0.000616116 / -0.000616116 | 0.000145231 / -0.000145231 | 7.76317e-05 / -7.76317e-05 | 5.80713e-09 / -5.80713e-09 | 1.06213e-08 / -1.06213e-08 | 2.12425e-08 / -2.12425e-08 | 0.00288551 / -0.00288551 | 7.23889e-08 / -7.23889e-08 |
 | gamma_stat_Signal_bin_17 | 0.000599081 / -0.000599081 | 5.2408e-05 / -5.2408e-05 | 2.40481e-05 / -2.40481e-05 | 0.000176435 / -0.000176435 | 1.22257e-08 / -1.22257e-08 | 2.44512e-08 / -2.44512e-08 | 5.53642e-07 / -5.53642e-07 | 8.33235e-08 / -8.33235e-08 |
 | gamma_stat_Signal_bin_18 | 0.000553594 / -0.000553594 | 7.49052e-05 / -7.49052e-05 | 0.000136223 / -0.000136223 | 0.00014405 / -0.00014405 | 1.30936e-08 / -1.30936e-08 | 2.61871e-08 / -2.61871e-08 | 5.92946e-07 / -5.92946e-07 | 8.92389e-08 / -8.92389e-08 |
 | gamma_stat_Signal_bin_19 | 0.00053291 / -0.00053291 | 3.2941e-05 / -3.2941e-05 | 1.79655e-06 / -1.79655e-06 | 7.8342e-09 / -7.8342e-09 | 1.43288e-08 / -1.43288e-08 | 2.86575e-08 / -2.86575e-08 | 6.48883e-07 / -6.48883e-07 | 9.76575e-08 / -9.76575e-08 |
 | #mu_{signal strength} | 0.0450064 / -0.0426453 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #mu_{W+jets} | 0 / 0 | 0.263881 / -0.263881 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #mu_{Z+jets} | 0 / 0 | 0 / 0 | 0.36605 / -0.36605 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
